date,share of teams constituted as circles,share short tern leave,involuntary headcount change (FTE),reachability,count sessions on .projuventute.ch,count leads,net promoter score,private donations,additional monetization/savings from CRM,additional monetization/savings from programs
2023-01-01,35.0,2.04,2.26,46.0,158611.0,734.0,35.0,1369218.0,51000.0,186258.0
2023-02-01,50.0,2.2,0.98,46.0,203755.0,557.0,35.0,2144446.0,51000.0,186258.0
2023-03-01,50.0,2.54,1.47,46.0,190560.0,536.0,35.0,1923875.0,51000.0,186258.0
2023-04-01,55.0,2.17,1.46,44.9,164663.0,337.0,35.0,1274911.0,0.0,0.0
2023-05-01,70.0,3.3,0.0,44.9,180421.0,765.0,35.0,1797114.0,0.0,0.0
2023-06-01,80.0,2.58,0.0,44.9,174107.0,596.0,35.0,1352463.0,0.0,0.0
2023-07-01,85.0,2.04,0.51,43.6,164059.0,683.0,35.0,1359887.0,0.0,26000.0
2023-08-01,90.0,0.93,1.01,43.6,194407.0,410.0,35.0,1101047.0,0.0,26000.0
2023-09-01,90.0,0.93,0.96,43.6,178822.88,346.0,35.0,1540370.12,0.0,26000.0
2023-10-01,90.0,0.8,1.01,44.83,194407.0,771.0,35.0,1101047.0,17000.0,70752.67
2023-11-01,95.0,0.8,0.96,44.83,178822.88,486.0,35.0,1540370.12,17000.0,70752.67
2023-12-01,95.0,1.0,0.0,44.83,174107.0,690.0,35.0,1352463.0,17000.0,70752.67
